,p,y
10,0.3822133541107178,0.0
16,0.4792894423007965,1.0
19,0.6411061882972717,1.0
74,0.8971331119537354,1.0
72,0.9518070816993713,1.0
31,0.9556019902229309,0.0
24,0.9848121404647827,0.0
38,0.9893960356712341,1.0
56,0.9899694323539734,1.0
57,0.9900673627853394,1.0
8,0.9911860823631287,0.0
75,0.992049515247345,0.0
4,0.9943937063217163,1.0
36,0.9948822259902954,1.0
43,0.9987367987632751,1.0
21,0.9996830224990845,1.0
0,0.9997625946998596,1.0
25,0.999829888343811,0.0
3,0.9999459981918335,0.0
14,0.9999547004699707,0.0
1,0.9999657869338989,0.0
39,0.9999673366546631,1.0
59,0.9999725818634033,1.0
46,0.9999786615371704,0.0
22,0.9999793767929077,1.0
17,0.9999797344207764,0.0
62,0.9999899864196777,1.0
33,0.9999909400939941,0.0
51,0.9999909400939941,0.0
15,0.9999933242797852,1.0
68,0.9999949932098389,0.0
49,0.9999954700469971,0.0
45,0.9999966621398926,0.0
32,0.9999967813491821,1.0
73,0.9999969005584717,0.0
23,0.9999973773956299,0.0
60,0.9999974966049194,0.0
63,0.9999982118606567,0.0
54,0.9999986886978149,0.0
11,0.999998927116394,1.0
61,0.999998927116394,0.0
71,0.9999990463256836,1.0
30,0.9999995231628418,1.0
64,0.9999995231628418,0.0
52,0.9999996423721313,1.0
58,0.9999996423721313,0.0
6,0.9999997615814209,0.0
37,0.9999998807907104,0.0
66,0.9999998807907104,0.0
69,0.9999998807907104,0.0
29,0.9999998807907104,1.0
18,0.9999998807907104,0.0
13,0.9999998807907104,0.0
67,1.0,0.0
70,1.0,1.0
20,1.0,0.0
65,1.0,0.0
26,1.0,1.0
55,1.0,0.0
27,1.0,0.0
28,1.0,0.0
34,1.0,0.0
35,1.0,0.0
9,1.0,0.0
7,1.0,0.0
40,1.0,0.0
41,1.0,0.0
42,1.0,0.0
5,1.0,0.0
44,1.0,1.0
47,1.0,0.0
48,1.0,0.0
12,1.0,0.0
53,1.0,0.0
2,1.0,0.0
50,1.0,0.0
